"cohort","stem","domain","source_var","source_label","status","coding","review_note","n_nonmissing","deficit_rate"
"MHAS","stoopa","mobility","r3stoopa","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",14365,0.41204316045945
"MHAS","armsa","mobility","r3armsa","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",14441,0.135239941832283
"MHAS","lifta","mobility","r3lifta","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",14230,0.238439915671117
"MHAS","dimea","mobility","r3dimea","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",14437,0.0724527256355198
"MHAS","dsight","sensory","r3dsight","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",14101,0.468732713991915
"MHAS","nsight","sensory","","No verified wave-3 field","unsupported","NA","Not filled from unrelated variables.",0,
"MHAS","hearing","sensory","r3hearing","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",164,0.486585365853659
"MHAS","shlt","general","r3shlt","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",14445,0.532613361024576
"MHAS","painfr","general","r3painfr","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",14443,0.381361213044381
"MHAS","fall","general","r3fall","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",15715,0.39217308304168
"MHAS","slfmem","cognition","r3slfmem","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",14154,0.506839056097216
"MHAS","mbmi","anthropometry","r3mbmi","MHAS harmonised wave-3 field","direct","Binary 1=deficit; difficulty 0/1/2 -> 0/1; rating 1-6 -> 0-1; BMI WHO","",2048,0.3779296875
